t                            N(t)               C(t)

For case 1

7.8               -2.850194714063614e-10               19.780254109836633
7.9               -3.8628116903529485e-10               19.004659206848743
8.0               -5.282532953480309e-10               18.25947585296995
8.1               -7.290205285227718e-10               17.543511532122025
8.2               -1.0127512794005076e-09               16.855620567799363
8.3               -1.4146211683854748e-09               16.194702226455675
8.4               -1.990461296988523e-09               15.55969884573095
8.5               -2.8154544662623473e-09               14.949594297976635
8.6               -3.9971595108932975e-09               14.363412323287086
8.7               -5.714054965182118e-09               13.800214905467664
8.8               -8.215894860758956e-09               13.259100796685978
8.9               -1.1855492295843757e-08               12.739204040844426
9.0               -1.721610310139213e-08               12.239692718533382
9.1               -2.5148223482535955e-08               11.759767531977227
9.2               -3.6840262381324706e-08               11.298660465839617
9.3               -5.4216692484054854e-08               10.855633641531153
9.4               -8.0265753352491e-08               10.429978152629827
9.5               -1.1915059888084779e-07               10.021012849862636
9.6               -1.7730378666702643e-07               9.628083286570483
9.7               -2.6548705863839465e-07               9.250560703965093
9.8               -3.9872269752092315e-07               8.887840978441911
9.9               -5.993143492703966e-07               8.539343666107484
10.0               -9.062406716920981e-07               8.20451109128975



For case 5

0.0               100.0               6.0
0.1               130.98809634286272               62.71773165638133
0.2               29.47066397761483               343.2907158170134
0.3               1.069266576577466               389.8736514486159
0.4               0.038655648063672166               373.14143654376335
0.5               0.0016726617851178752               355.0256395093828
0.6               8.641623040000902e-05               337.71440509477634
0.7               5.2862110500641445e-06               321.24406349131584
0.8               3.7959627305826657e-07               305.5768168784973
0.9               3.1510174227551184e-08               290.6736610241394
1.0               2.9126677863320958e-09               276.4973401483978
1.1               1.1193512844350192e-09               263.0124046739684
1.2               4.374385610347088e-09               250.18513811799696
1.3               -1.8664318441795836e-09               237.9834652502622
1.4               -3.0777227175823323e-10               226.37687683380022
1.5               3.158108265807185e-11               215.3363510874934
1.6               8.976872035652964e-11               204.83427269037307
1.7               -5.354047078027744e-11               194.84438567575435
1.8               2.791915002913716e-12               185.34171266421274
1.9               -6.53693839898093e-11               176.30249001405807
2.0               -1.767142105606572e-09               167.7041155120009
2.1               -3.4652005179734073e-09               159.52509090938034
2.2               -1.3697602562413618e-09               151.74496069680794
2.3               3.068163681672475e-09               144.34427172242994
2.4               6.693462793151436e-10               137.30451863115937
2.5               -5.1087923463966685e-09               130.60809824758869
2.6               -2.860488791576131e-09               124.23826633211023
2.7               -1.3220980560431818e-09               118.17909451674325
2.8               -4.634470184239085e-10               112.41543197936697
2.9               -3.626217376120257e-10               106.93286654595197
3.0               -1.624234587607895e-10               101.71768899034741
3.1               -1.1148618962292225e-10               96.75685864989225
3.2               -6.594396253100162e-11               92.0379706811684
3.3               -4.4076039682638806e-11               87.54922486558603
3.4               -5.272606075721327e-11               83.27939998464694
3.5               -4.578280758427795e-11               79.217816166685
3.6               -3.119845381724581e-11               75.35431786130303
3.7               -2.5162131267804828e-11               71.67924453391596
3.8               -2.4208587878367303e-11               68.18340662256585
3.9               -2.084717911963951e-11               64.85806272303707
4.0               -1.658467933604469e-11               61.69489778027665
4.1               -1.3989306872964702e-11               58.68600254238624
4.2               -1.2102755014130629e-11               55.8238529022935
4.3               -9.79122789925041e-12               53.10129107519866
4.4               -5.812259889358104e-12               50.51150986287685
4.5               -6.383327326535634e-12               48.048034614767346
4.6               -7.184696898859286e-12               45.70470450298494
4.7               -7.058959507226003e-12               43.47565960624742
4.8               -7.389026024543431e-12               41.35532660296168
4.9               -8.302732250006472e-12               39.338403552021916
5.0               -9.439810920952248e-12               37.419846973321874
5.1               -1.0869226999098202e-11               35.594859490433365
5.2               -1.255364010171026e-11               33.85887769136184
5.3               -1.4809334534523025e-11               32.207560728704124
5.4               -1.7880164192810128e-11               30.63677944852754
5.5               -2.1906013783249248e-11               29.1426060783306
5.6               -2.719721735278498e-11               27.721304395060294
5.7               -3.417820211056333e-11               26.36932039166515
5.8               -4.350895228869677e-11               25.08327336694567
5.9               -5.614551498342901e-11               23.85994766304254
6.0               -7.33810528838743e-11               22.696284224883595
6.1               -9.700859478454063e-11               21.589373343549155
6.2               -1.2965633160506435e-10               20.536447144984177
6.3               -1.7503226093036165e-10               19.53487273786979
6.4               -2.384530905990287e-10               18.582145736558324
6.5               -3.2797220520289857e-10               17.675883737185544
6.6               -4.5488465301918475e-10               16.813820696776407
6.7               -6.365735311562823e-10               15.993800945552158
6.8               -8.976689812714685e-10               15.213774036746628
6.9               -1.275728492605061e-09               14.47178949927854
7.0               -1.8264084310579532e-09               13.765991951935648
7.1               -2.631208803361319e-09               13.094616591729219
7.2               -3.818153100645929e-09               12.455984565178985
7.3               -5.5700559231984325e-09               11.848499014398884
7.4               -8.178861886266903e-09               11.270640881767516
7.5               -1.2073195728081827e-08               10.720965217896607
7.6               -1.7900331286851838e-08               10.198097585722502
7.7               -2.6697217336972312e-08               9.700730540525633
7.8               -3.997922694290448e-08               9.227620352532043
7.9               -6.017759450163595e-08               8.777584005467835
8.0               -9.101439524577889e-08               8.349496201248703
8.1               -1.3808771340238846e-07               7.942286451377035
8.2               -2.1057219874901963e-07               7.554936550957807
8.3               -3.2207486610438066e-07               7.186477917216068
8.4               -4.942864509012833e-07               6.835989198261998
8.5               -7.617821424285018e-07               6.502593995112866
8.6               -1.1761530019905105e-06               6.185458627307342
8.7               -1.8234852388020572e-06               5.883790077867101
8.8               -2.8348237921074883e-06               5.596833995934844
8.9               -4.416290850600119e-06               5.323872803785346
9.0               -6.9138308472525e-06               5.064223903942699
9.1               -1.0844081851941144e-05               4.817237952438273
9.2               -1.705756652401673e-05               4.582297228349608
9.3               -2.689456769111593e-05               4.358814072344912
9.4               -4.249490396718175e-05               4.14622937428002
9.5               -6.728420991550325e-05               3.9440111273285137
9.6               -0.00010674661204356151               3.7516530203214624
9.7               -0.0001696716024885368               3.5686730532562887
9.8               -0.00027017137682610974               3.3946121493539496
9.9               -0.0004309324154936134               3.2290327277174837
